time,true_strain,true_stress
195,-0.099601891,-0.38305819
196.33333,-0.099615578,-0.3809595
197.33333,-0.099619,-0.38357461
198.33333,-0.099622422,-0.38828303
199.66667,-0.099656641,-0.38303731
200.66667,-0.099677172,-0.37831952
201.66667,-0.099649797,-0.37257337
202.66667,-0.099622422,-0.37415389
204,-0.099605312,-0.38148648
205,-0.099598469,-0.37782597
206,-0.099622422,-0.37310748
207,-0.099642953,-0.37257612
208.33333,-0.099653219,-0.38146805
209.33333,-0.099642953,-0.38147242
210.33333,-0.099625844,-0.37519936
211.66667,-0.099619,-0.37677175
212.66667,-0.099632688,-0.38147592
213.66667,-0.099642953,-0.38251839
214.66667,-0.099642953,-0.38565817
216,-0.099615578,-0.38985555
217,-0.099574516,-0.38620875
218,-0.099581359,-0.38044941
219,-0.099625844,-0.38147834
220.33333,-0.099632688,-0.38618559
221.33333,-0.099629266,-0.38461745
222.33333,-0.099636109,-0.38304506
223.66667,-0.099639531,-0.38722956
224.66667,-0.099636109,-0.39298708
225.66667,-0.099639531,-0.39455622
226.66667,-0.099660063,-0.39088577
228,-0.099636109,-0.38775461
229,-0.099615578,-0.39037884
230,-0.099608734,-0.3888117
231,-0.099615578,-0.38200609
232.33333,-0.099619,-0.38671439
233.33333,-0.099615578,-0.38723895
234.33333,-0.099601891,-0.38201105
235.33333,-0.099601891,-0.38148775
236.66667,-0.099619,-0.38043483
237.66667,-0.099619,-0.37781834
238.66667,-0.099619,-0.37415527
240,-0.099636109,-0.36943936
241,-0.099619,-0.37310877
242,-0.099601891,-0.37834798
243,-0.099615578,-0.37677302
244.33333,-0.099619,-0.37520186
245.33333,-0.099612156,-0.37677428
246.33333,-0.099591625,-0.37573528
247.33333,-0.099584781,-0.37416792
248.66667,-0.099642953,-0.37780914
249.66667,-0.099677172,-0.37779622
250.66667,-0.099670328,-0.37361284
252,-0.099677172,-0.37517986
253,-0.099663484,-0.37884794
254,-0.099666906,-0.38303331
255,-0.099666906,-0.38407978
256.33333,-0.099639531,-0.37571753
257.33333,-0.099636109,-0.3772888
258.33333,-0.099625844,-0.38618859
259.33333,-0.099615578,-0.38933225
260.66667,-0.099595047,-0.38620072
261.66667,-0.099598469,-0.38515275
262.66667,-0.099615578,-0.38252939
264,-0.099639531,-0.38304306
265,-0.099629266,-0.38095367
266,-0.099612156,-0.37886739
267,-0.099636109,-0.38409169
268.33333,-0.099642953,-0.39141531
269.33333,-0.099625844,-0.38880508
270.33333,-0.099629266,-0.38252427
271.33333,-0.099636109,-0.38252177
272.66667,-0.099622422,-0.38671314
273.66667,-0.099625844,-0.38252527
274.66667,-0.099649797,-0.38042245
276,-0.099653219,-0.3846077
277,-0.099639531,-0.39089314
278,-0.099629266,-0.39142031
279,-0.099619,-0.38409791
280.33333,-0.099619,-0.37520186
281.33333,-0.099619,-0.37729505
282.33333,-0.099619,-0.38252802
283.33333,-0.099619,-0.38148142
284.66667,-0.099619,-0.37677175
285.66667,-0.099619,-0.37363197
286.66667,-0.099615578,-0.37363325
287.66667,-0.099605313,-0.37311381
289,-0.099598469,-0.36997653
290,-0.099612156,-0.37206461
291,-0.099622422,-0.3762472
292.33333,-0.099656641,-0.37257163
293.33333,-0.099649797,-0.37048094
294.33333,-0.099625844,-0.37415264
295.33333,-0.099636109,-0.37781147
296.66667,-0.099629266,-0.37938411
297.66667,-0.099632688,-0.37728955
298.66667,-0.099670328,-0.37727542
299.66667,-0.09967375,-0.3730883
301,-0.099636109,-0.37257912
302,-0.099649797,-0.37571391
303,-0.099653219,-0.37728255
304.33333,-0.099639531,-0.37885731
305.33333,-0.099653219,-0.38460833
306.33333,-0.099632688,-0.39246566
307.33333,-0.099612156,-0.38933363
308.66667,-0.099666953,-0.38093845
309.66667,-0.10120317,-0.39594541
310.66667,-0.10700363,-0.43970506
311.66667,-0.11637175,-0.4881245
313,-0.13005363,-0.53936306
314,-0.14016072,-0.58314587
315,-0.15029594,-0.62555795
316.33333,-0.16407539,-0.67244327
317.33333,-0.17424227,-0.70740828
318.33333,-0.18434598,-0.74164405
319.33333,-0.19320672,-0.77092552
320.66667,-0.19845392,-0.77601606
321.66667,-0.19884234,-0.76576405
322.66667,-0.198831,-0.761982
323.66667,-0.198831,-0.75676947
