x,y
1.003958,0.08175
1.0075383,0.12616
1.0106484,0.20054
1.0139873,0.28078
1.017283,0.38634
1.0199559,0.5014
1.0230147,0.62819
1.0259847,0.76206
1.028718,0.92421
1.031451,1.06988
1.0342146,1.26029
1.0367402,1.42011
1.0392365,1.59407
1.0416438,1.77275
1.0440219,1.96792
1.0463702,2.16074
1.048778,2.3559
1.0510674,2.56521
1.0531784,2.76041
1.0554087,2.97679
1.0573714,3.17437
1.0590076,3.36021
