x,y
1.0029502,0.04021
1.0073236,0.16012
1.0104262,0.26792
1.0135661,0.38767
1.0165565,0.51635
1.0195095,0.66293
1.0221261,0.81543
1.024967,0.98587
1.0275836,1.15926
1.0301254,1.33861
1.0325177,1.51794
1.03491,1.71517
1.0373024,1.90047
1.0396947,2.14246
1.0417132,2.33367
1.0441803,2.5339
1.0460119,2.70421
1.0482547,2.95215
